job_id,job_title,salary_usd,salary_currency,experience_level,employment_type,company_location,company_size,employee_residence,remote_ratio,required_skills,education_required,years_experience,industry,posting_date,application_deadline,job_description_length,benefits_score,company_name,salario_por_ano_experiencia,tipo_trabalho,nivel_experiencia_label
AI00001,AI Research Scientist,90376,USD,SE,CT,China,M,China,50,"Tableau, PyTorch, Kubernetes, Linux, NLP",Bachelor,9,Automotive,2024-10-18,2024-11-07,1076,5.9,Smart Analytics,10041.777777777777,Híbrido,Sênior
AI00002,AI Software Engineer,61895,USD,EN,CT,Canada,M,Ireland,100,"Deep Learning, AWS, Mathematics, Python, Docker",Master,1,Media,2024-11-20,2025-01-11,1268,5.2,TechCorp Inc,61895.0,Remoto,Iniciante
AI00003,AI Specialist,152626,USD,MI,FL,Switzerland,L,South Korea,0,"Kubernetes, Deep Learning, Java, Hadoop, NLP",Associate,2,Education,2025-03-18,2025-04-07,1974,9.4,Autonomous Tech,76313.0,Presencial,Pleno
AI00004,NLP Engineer,80215,USD,SE,FL,India,M,India,50,"Scala, SQL, Linux, Python",PhD,7,Consulting,2024-12-23,2025-02-24,1345,8.6,Future Systems,11459.285714285714,Híbrido,Sênior
AI00005,AI Consultant,54624,EUR,EN,PT,France,S,Singapore,100,"MLOps, Java, Tableau, Python",Master,0,Media,2025-04-15,2025-06-23,1989,6.6,Advanced Robotics,,Remoto,Iniciante
AI00006,AI Architect,123574,EUR,SE,CT,Germany,M,Germany,50,"Data Visualization, R, SQL, Linux",Associate,7,Healthcare,2024-08-31,2024-10-04,819,5.9,Neural Networks Co,17653.428571428572,Híbrido,Sênior
AI00007,Principal Data Scientist,79670,GBP,MI,FL,United Kingdom,S,United Kingdom,0,"R, Docker, MLOps",Associate,3,Gaming,2024-12-29,2025-02-28,1936,6.3,DataVision Ltd,26556.666666666668,Presencial,Pleno
AI00008,NLP Engineer,70640,EUR,EN,FL,France,L,France,0,"Python, SQL, Computer Vision, Java, Azure",Master,0,Healthcare,2024-06-07,2024-07-01,1286,7.6,Cloud AI Solutions,,Presencial,Iniciante
AI00009,Data Analyst,160710,USD,SE,CT,Singapore,L,Singapore,0,"Hadoop, Git, Mathematics, Python",PhD,7,Government,2024-11-04,2024-11-24,551,9.3,Quantum Computing Inc,22958.571428571428,Presencial,Sênior
AI00010,AI Software Engineer,102557,USD,SE,PT,Austria,M,Austria,0,"MLOps, GCP, Scala, Azure, Linux",Master,5,Government,2024-10-20,2024-11-06,2340,5.8,Cloud AI Solutions,20511.4,Presencial,Sênior
AI00011,Autonomous Systems Engineer,102322,USD,SE,PT,Sweden,M,Sweden,100,"MLOps, Python, SQL",Associate,8,Telecommunications,2025-01-29,2025-03-05,1047,9.9,Smart Analytics,12790.25,Remoto,Sênior
AI00012,AI Architect,115047,USD,EX,CT,South Korea,S,South Korea,0,"R, Data Visualization, Python, Azure",Master,15,Manufacturing,2024-07-16,2024-08-19,513,6.8,TechCorp Inc,7669.8,Presencial,Executivo
AI00013,AI Consultant,124355,EUR,SE,CT,France,M,France,100,"Tableau, Python, TensorFlow",PhD,5,Automotive,2024-12-29,2025-01-27,760,5.2,Predictive Systems,24871.0,Remoto,Sênior
AI00014,Autonomous Systems Engineer,68760,USD,EN,CT,Norway,S,Norway,0,"Scala, SQL, Statistics",Master,0,Energy,2024-02-11,2024-02-25,1657,9.1,Cloud AI Solutions,,Presencial,Iniciante
AI00015,AI Research Scientist,150122,USD,SE,FT,Sweden,M,Sweden,100,"PyTorch, Python, Data Visualization, GCP",Associate,6,Technology,2024-10-02,2024-11-26,1466,9.8,Advanced Robotics,25020.333333333332,Remoto,Sênior
AI00016,AI Product Manager,78846,GBP,EN,PT,United Kingdom,L,Israel,0,"Linux, Statistics, Deep Learning",PhD,0,Consulting,2024-09-28,2024-10-26,2059,9.6,DataVision Ltd,,Presencial,Iniciante
AI00017,Principal Data Scientist,59823,USD,EN,FT,India,L,India,100,"Tableau, NLP, Spark",Bachelor,1,Real Estate,2025-02-06,2025-03-26,1200,5.8,Predictive Systems,59823.0,Remoto,Iniciante
AI00018,Machine Learning Engineer,181139,EUR,EX,CT,France,L,France,100,"MLOps, PyTorch, Azure",Associate,15,Real Estate,2024-04-24,2024-06-03,2142,8.7,AI Innovations,12075.933333333332,Remoto,Executivo
AI00019,Data Engineer,155300,USD,SE,CT,Singapore,M,Singapore,0,"Git, Hadoop, R, Python, Spark",Associate,9,Finance,2024-04-30,2024-05-29,589,8.6,Algorithmic Solutions,17255.555555555555,Presencial,Sênior
AI00020,Research Scientist,93851,EUR,MI,PT,Netherlands,L,Germany,100,"Java, Scala, NLP, Docker, Computer Vision",PhD,4,Transportation,2024-05-01,2024-07-02,1809,6.7,AI Innovations,23462.75,Remoto,Pleno
AI00021,Data Engineer,134197,USD,MI,FT,Norway,M,France,0,"Deep Learning, AWS, Azure",Bachelor,3,Telecommunications,2024-06-21,2024-08-28,969,9.6,AI Innovations,44732.333333333336,Presencial,Pleno
AI00022,Autonomous Systems Engineer,102550,USD,MI,PT,United States,M,United States,0,"Tableau, Spark, NLP, TensorFlow, PyTorch",Bachelor,2,Automotive,2024-04-23,2024-06-23,625,10.0,Cognitive Computing,51275.0,Presencial,Pleno
AI00023,ML Ops Engineer,99382,EUR,SE,CT,Germany,S,Germany,0,"Hadoop, Git, Tableau",PhD,7,Automotive,2025-03-13,2025-05-11,1629,6.9,Quantum Computing Inc,14197.42857142857,Presencial,Sênior
AI00024,AI Product Manager,52167,USD,MI,FT,Austria,M,Ireland,100,"Git, Hadoop, Docker",Master,4,Telecommunications,2024-06-07,2024-06-24,2298,9.3,Cloud AI Solutions,13041.75,Remoto,Pleno
AI00025,ML Ops Engineer,53923,USD,MI,FT,China,S,China,0,"AWS, Azure, Git, SQL, Computer Vision",Bachelor,2,Healthcare,2024-10-27,2024-11-18,1006,7.4,AI Innovations,26961.5,Presencial,Pleno
AI00026,Robotics Engineer,109779,USD,SE,PT,Israel,L,Israel,100,"Linux, Git, Tableau, Kubernetes, Data Visualization",PhD,6,Government,2024-08-01,2024-10-02,1146,8.8,DataVision Ltd,18296.5,Remoto,Sênior
AI00027,ML Ops Engineer,80979,USD,MI,CT,Australia,S,India,50,"Hadoop, Linux, Git, Scala",Master,2,Media,2024-11-18,2025-01-18,2109,7.7,TechCorp Inc,40489.5,Híbrido,Pleno
AI00028,Data Analyst,52997,USD,MI,PT,Austria,M,Singapore,0,"Mathematics, Kubernetes, TensorFlow, Tableau, PyTorch",PhD,2,Government,2025-01-10,2025-02-20,2101,8.6,Predictive Systems,26498.5,Presencial,Pleno
AI00029,Head of AI,42819,USD,EN,CT,Ireland,M,Ireland,50,"Python, Scala, NLP, Mathematics, Git",PhD,0,Healthcare,2024-10-08,2024-11-20,2187,8.6,Cognitive Computing,,Híbrido,Iniciante
AI00030,ML Ops Engineer,82083,USD,MI,CT,Israel,L,Israel,100,"Azure, Python, Computer Vision, Kubernetes, TensorFlow",Master,2,Retail,2024-01-18,2024-02-25,1212,6.3,Future Systems,41041.5,Remoto,Pleno
AI00031,Head of AI,67488,EUR,EN,FT,Netherlands,M,Netherlands,100,"Deep Learning, GCP, AWS, Linux, Tableau",Master,1,Retail,2024-05-16,2024-07-26,887,6.0,Advanced Robotics,67488.0,Remoto,Iniciante
