Job_Title,Industry,Company_Size,Location,AI_Adoption_Level,Automation_Risk,Required_Skills,Salary_USD,Remote_Friendly,Job_Growth_Projection,Risco_Automacao_Label
Cybersecurity Analyst,Entertainment,Small,Dubai,Medium,,UX/UI Design,111392.16524315962,Yes,Growth,
Marketing Specialist,Technology,Large,Singapore,Medium,,Marketing,93792.56246610906,No,Decline,
AI Researcher,Technology,Large,Singapore,Medium,,UX/UI Design,107170.26306894996,Yes,Growth,
Sales Manager,Retail,Small,Berlin,Low,,Project Management,93027.95375786416,No,Growth,
Cybersecurity Analyst,Entertainment,Small,Tokyo,Low,,JavaScript,87752.92217059238,Yes,Decline,
UX Designer,Education,Large,San Francisco,Medium,,Cybersecurity,102825.0078665678,No,Growth,
HR Manager,Finance,Medium,Singapore,Low,,Sales,102065.72067347592,Yes,Growth,
Cybersecurity Analyst,Technology,Small,Dubai,Medium,,Machine Learning,86607.3176180969,Yes,Decline,
AI Researcher,Retail,Large,London,High,,JavaScript,75015.86084571481,No,Stable,
Sales Manager,Entertainment,Medium,Singapore,High,,Cybersecurity,96834.57829480869,Yes,Decline,
Marketing Specialist,Finance,Small,London,High,,Python,91566.97337925188,Yes,Growth,
AI Researcher,Entertainment,Medium,Singapore,Medium,,UX/UI Design,78902.56574458485,No,Growth,
AI Researcher,Transportation,Large,San Francisco,High,,Python,73151.99034926406,Yes,Growth,
HR Manager,Retail,Small,Paris,Low,,Cybersecurity,98209.51687788912,Yes,Decline,
Product Manager,Finance,Medium,Singapore,High,,JavaScript,101001.90114055388,Yes,Growth,
Sales Manager,Telecommunications,Small,Dubai,High,,UX/UI Design,82799.35770690278,No,Growth,
Software Engineer,Manufacturing,Medium,Singapore,High,,Machine Learning,78401.25928174148,No,Decline,
AI Researcher,Manufacturing,Large,Tokyo,Low,,Project Management,73394.89621925619,No,Stable,
Product Manager,Finance,Large,San Francisco,Medium,,UX/UI Design,97645.09878289838,Yes,Stable,
Software Engineer,Entertainment,Small,Dubai,Low,,UX/UI Design,73920.45852718527,Yes,Growth,
Sales Manager,Retail,Medium,Sydney,Medium,,JavaScript,134822.69138041462,Yes,Decline,
Data Scientist,Manufacturing,Small,Dubai,Medium,,JavaScript,81794.37128058006,Yes,Growth,
UX Designer,Retail,Small,Tokyo,High,,Cybersecurity,41495.71444254798,No,Decline,
Product Manager,Manufacturing,Medium,Paris,Medium,,Data Analysis,89396.5666674173,Yes,Decline,
Operations Manager,Transportation,Medium,San Francisco,Low,,UX/UI Design,88539.33040362394,Yes,Stable,
Data Scientist,Entertainment,Medium,Sydney,Low,,Sales,112234.37135048377,Yes,Stable,
UX Designer,Transportation,Large,Tokyo,Medium,,UX/UI Design,95762.52473455408,No,Decline,
HR Manager,Manufacturing,Small,Tokyo,High,,Cybersecurity,73323.29633120395,Yes,Growth,
Cybersecurity Analyst,Telecommunications,Small,New York,High,,Marketing,84272.16253006447,Yes,Stable,
Marketing Specialist,Telecommunications,Large,San Francisco,Low,,Python,96548.39543301976,Yes,Growth,
Operations Manager,Transportation,Medium,Dubai,High,,Project Management,46705.714993791786,Yes,Stable,
HR Manager,Telecommunications,Large,London,Medium,,Data Analysis,116772.434687809,Yes,Stable,
Sales Manager,Manufacturing,Large,Paris,Medium,,Machine Learning,73376.6022839067,No,Growth,
HR Manager,Finance,Large,London,Low,,Machine Learning,118340.87641895234,Yes,Stable,
Cybersecurity Analyst,Transportation,Small,Dubai,Medium,,Machine Learning,97849.30282253175,Yes,Stable,
Sales Manager,Healthcare,Large,Dubai,Low,,JavaScript,102591.88272787948,Yes,Growth,
Operations Manager,Entertainment,Small,San Francisco,Medium,,Machine Learning,112988.46872002544,Yes,Stable,
Cybersecurity Analyst,Telecommunications,Small,Dubai,Low,,Project Management,101462.64105384996,Yes,Stable,
Software Engineer,Telecommunications,Small,New York,High,,Python,103457.72432634902,Yes,Stable,
Marketing Specialist,Technology,Medium,Sydney,Medium,,Machine Learning,86711.67119077238,Yes,Growth,
Operations Manager,Education,Small,Dubai,Medium,,UX/UI Design,97443.3736294419,Yes,Decline,
Software Engineer,Transportation,Small,London,Low,,UX/UI Design,78250.04370056515,Yes,Growth,
UX Designer,Energy,Medium,Dubai,Low,,JavaScript,83131.77800824065,Yes,Decline,
Operations Manager,Telecommunications,Small,New York,Medium,,Project Management,129293.90095937817,No,Stable,
UX Designer,Entertainment,Large,Singapore,Low,,Python,73836.12829899156,No,Decline,
Sales Manager,Healthcare,Large,Singapore,Medium,,Data Analysis,93086.3425327256,No,Growth,
Software Engineer,Telecommunications,Small,Tokyo,High,,Cybersecurity,92269.38073430952,No,Growth,
Marketing Specialist,Healthcare,Medium,Paris,Low,,Python,83784.91056438402,Yes,Stable,
Cybersecurity Analyst,Manufacturing,Large,Berlin,Medium,,Cybersecurity,100288.01873140877,No,Decline,
AI Researcher,Manufacturing,Medium,Sydney,High,,Marketing,101794.44185482766,No,Stable,
HR Manager,Education,Medium,Toronto,High,,Cybersecurity,71483.61633704841,Yes,Stable,
Data Scientist,Finance,Large,Tokyo,Medium,,Sales,92027.13423093104,No,Growth,
Marketing Specialist,Energy,Medium,Paris,Low,,UX/UI Design,68352.65322455287,No,Decline,
Software Engineer,Technology,Large,Singapore,Medium,,Project Management,105770.97236634602,Yes,Decline,
AI Researcher,Education,Medium,London,High,,Communication,93529.74620725252,Yes,Decline,
Marketing Specialist,Retail,Large,Toronto,Medium,,JavaScript,91646.59773434176,Yes,Decline,
Software Engineer,Technology,Small,Paris,Low,,Sales,103180.62697744806,No,Stable,
Product Manager,Transportation,Large,Paris,High,,Cybersecurity,84489.79419063198,No,Stable,
Product Manager,Entertainment,Large,Tokyo,Medium,,Machine Learning,108280.43918436408,Yes,Growth,
UX Designer,Retail,Large,Toronto,Low,,Project Management,71031.10254487729,Yes,Stable,
Marketing Specialist,Retail,Large,San Francisco,High,,Sales,118237.53037789057,No,Stable,
Product Manager,Education,Medium,Berlin,Low,,JavaScript,78981.77634890293,Yes,Growth,
Software Engineer,Finance,Small,San Francisco,High,,UX/UI Design,56076.41864608825,No,Growth,
UX Designer,Education,Large,Toronto,Medium,,Project Management,83429.30183074536,Yes,Growth,
Software Engineer,Transportation,Medium,San Francisco,Low,,JavaScript,81160.63605491581,Yes,Stable,
UX Designer,Telecommunications,Small,New York,High,,Marketing,83278.52027699928,No,Stable,
Marketing Specialist,Telecommunications,Small,Singapore,Low,,Marketing,94632.96030967963,Yes,Growth,
AI Researcher,Finance,Small,New York,Low,,JavaScript,111956.84721776543,Yes,Growth,
Cybersecurity Analyst,Transportation,Small,Dubai,Medium,,Sales,86165.88172205727,Yes,Growth,
Operations Manager,Finance,Large,San Francisco,Low,,Project Management,76167.64860362199,No,Stable,
AI Researcher,Healthcare,Large,Dubai,High,,Sales,67469.06375432406,Yes,Stable,
Sales Manager,Telecommunications,Medium,London,High,,Data Analysis,80636.34417381912,Yes,Decline,
Software Engineer,Retail,Medium,Sydney,High,,Cybersecurity,52243.50321499295,Yes,Stable,
Sales Manager,Energy,Medium,London,High,,Data Analysis,75497.33812967277,Yes,Stable,
AI Researcher,Entertainment,Small,Toronto,Medium,,Marketing,114881.07791724372,Yes,Stable,
UX Designer,Transportation,Small,Paris,Low,,UX/UI Design,73532.81590843154,Yes,Growth,
Operations Manager,Technology,Large,Singapore,Medium,,Python,102574.31721600612,No,Stable,
Operations Manager,Finance,Small,San Francisco,Low,,Cybersecurity,65470.358203830205,No,Growth,
Data Scientist,Entertainment,Small,Tokyo,Low,,Marketing,125421.91798621108,Yes,Decline,
Operations Manager,Technology,Small,Sydney,Low,,Sales,126752.1346612942,No,Decline,
Cybersecurity Analyst,Entertainment,Medium,Berlin,Medium,,Sales,101820.43113119752,No,Growth,
Operations Manager,Energy,Medium,Berlin,Low,,Sales,129825.05203287044,Yes,Growth,
AI Researcher,Technology,Large,Berlin,Medium,,UX/UI Design,97115.85949855324,No,Growth,
Data Scientist,Education,Small,San Francisco,High,,Data Analysis,105370.34228299111,No,Stable,
AI Researcher,Manufacturing,Small,Berlin,High,,Python,115238.6775346307,No,Decline,
AI Researcher,Education,Large,New York,Low,,Sales,93594.369061969,No,Growth,
HR Manager,Telecommunications,Small,Sydney,Medium,,Communication,58952.450768298775,No,Stable,
Data Scientist,Manufacturing,Small,New York,High,,Cybersecurity,105779.26710468795,No,Decline,
AI Researcher,Education,Medium,Paris,Medium,,Project Management,80562.80811133073,No,Stable,
HR Manager,Manufacturing,Large,Sydney,Medium,,Communication,82049.4035808908,No,Decline,
HR Manager,Manufacturing,Large,New York,Low,,Python,95957.8983295738,Yes,Stable,
Data Scientist,Retail,Large,Sydney,High,,UX/UI Design,101325.6175943474,Yes,Decline,
Sales Manager,Finance,Large,Paris,Low,,Python,93002.69268012435,No,Decline,
UX Designer,Finance,Medium,Dubai,Low,,Project Management,102714.59072314618,No,Stable,
Cybersecurity Analyst,Retail,Medium,San Francisco,High,,Cybersecurity,75862.85731879607,Yes,Growth,
UX Designer,Entertainment,Small,San Francisco,High,,Project Management,89145.92410553433,No,Decline,
Operations Manager,Healthcare,Small,Berlin,Medium,,JavaScript,106981.70900901742,No,Growth,
Cybersecurity Analyst,Entertainment,Small,London,High,,Cybersecurity,125455.82352873433,Yes,Stable,
Operations Manager,Technology,Small,Berlin,Medium,,Python,132528.71177946418,Yes,Growth,
AI Researcher,Technology,Medium,Toronto,Medium,,Sales,98659.53365455465,Yes,Growth,
Software Engineer,Manufacturing,Large,New York,Medium,,Python,106800.19653491216,No,Growth,
Data Scientist,Education,Medium,Sydney,High,,Python,129631.5832963038,No,Growth,
Cybersecurity Analyst,Education,Small,London,Low,,Cybersecurity,76583.27926533011,Yes,Growth,
Cybersecurity Analyst,Finance,Medium,Paris,Medium,,JavaScript,102593.99705425168,Yes,Decline,
AI Researcher,Transportation,Large,Toronto,Low,,Python,105366.85898972292,No,Decline,
Sales Manager,Entertainment,Large,Paris,Low,,Communication,118957.22872153488,Yes,Decline,
HR Manager,Telecommunications,Medium,San Francisco,High,,Marketing,67257.17238927555,No,Stable,
AI Researcher,Energy,Medium,San Francisco,Low,,Machine Learning,71211.88432398967,No,Growth,
Product Manager,Education,Medium,Berlin,Low,,Machine Learning,90427.64422209412,Yes,Decline,
HR Manager,Energy,Small,New York,High,,Python,97554.55324643273,Yes,Stable,
Data Scientist,Manufacturing,Medium,London,Medium,,Communication,112457.27907467616,No,Decline,
HR Manager,Energy,Medium,Singapore,Low,,Sales,100350.87551624542,Yes,Decline,
Sales Manager,Telecommunications,Medium,Toronto,High,,UX/UI Design,86971.73539779433,Yes,Growth,
HR Manager,Retail,Large,Toronto,Low,,UX/UI Design,98329.2288951228,Yes,Stable,
Data Scientist,Telecommunications,Large,Berlin,Low,,Cybersecurity,96020.88952548904,Yes,Growth,
Sales Manager,Energy,Small,San Francisco,Medium,,Machine Learning,124900.32859975575,No,Growth,
UX Designer,Telecommunications,Small,Berlin,Low,,Python,93313.17887137063,No,Decline,
Cybersecurity Analyst,Healthcare,Large,Sydney,High,,UX/UI Design,82338.33172894873,No,Growth,
Cybersecurity Analyst,Manufacturing,Large,London,Low,,Python,98992.1806014366,No,Stable,
Operations Manager,Entertainment,Large,New York,Medium,,Cybersecurity,93969.70638677065,Yes,Growth,
UX Designer,Retail,Medium,Dubai,Medium,,Machine Learning,58580.13288650656,Yes,Growth,
UX Designer,Education,Medium,Tokyo,High,,Project Management,89686.95876755661,No,Growth,
HR Manager,Technology,Large,Tokyo,Medium,,Marketing,87985.23509187989,No,Decline,
Cybersecurity Analyst,Entertainment,Medium,Berlin,Low,,Marketing,79122.56268441367,Yes,Stable,
Data Scientist,Technology,Medium,Sydney,Medium,,UX/UI Design,110711.66575245943,No,Decline,
Marketing Specialist,Manufacturing,Small,London,High,,Marketing,74286.40806776009,No,Decline,
Marketing Specialist,Retail,Large,Singapore,Medium,,Project Management,99112.37239049075,Yes,Decline,
Sales Manager,Finance,Large,Tokyo,Medium,,Python,87042.86000312539,No,Decline,
Cybersecurity Analyst,Education,Medium,London,Medium,,Cybersecurity,92153.90011293563,Yes,Decline,
Cybersecurity Analyst,Healthcare,Large,New York,High,,Project Management,98235.72582091736,Yes,Stable,
Marketing Specialist,Finance,Small,Paris,Medium,,Cybersecurity,63848.51232217997,No,Growth,
Cybersecurity Analyst,Manufacturing,Small,Sydney,Medium,,Cybersecurity,93833.21783469566,Yes,Decline,
HR Manager,Entertainment,Small,San Francisco,Low,,Machine Learning,135778.94979426413,No,Decline,
Product Manager,Healthcare,Large,London,High,,Python,58864.73308242552,Yes,Stable,
Software Engineer,Telecommunications,Large,New York,Medium,,Communication,88847.84072568991,No,Stable,
UX Designer,Energy,Large,Singapore,High,,Marketing,112464.7864964764,No,Growth,
Operations Manager,Healthcare,Large,Dubai,Medium,,Communication,96032.38495907192,No,Stable,
Sales Manager,Manufacturing,Large,San Francisco,Medium,,Machine Learning,103759.33904232067,Yes,Growth,
Product Manager,Transportation,Small,Dubai,Medium,,Cybersecurity,42486.67977814768,Yes,Decline,
